['Z', 'Z', 'Z', 'Z', 'P', 'P', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'G', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Y', 'Y', 'X', 'Y', 'U', 'U', 'U', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'N', 'N', 'N', 'N', 'O', 'O', 'O', 'O', 'R', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'D', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'V', 'V', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'L', 'L', 'L', 'L', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']
['P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Z', 'Z', 'Z', 'S', 'S', 'S', 'Z', 'Z', 'Z', 'X', 'X', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'V', 'V', 'V', 'V', 'V', 'V', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'C', 'C', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'K', 'T', 'T', 'T', 'T', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'Z', 'X', 'X', 'X', 'C', 'C', 'C', 'D', 'C', 'V', 'V', 'V', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'D']
['P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Z', 'Z', 'Z', 'X', 'D', 'S', 'Z', 'R', 'Z', 'X', 'X', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'P', 'P', 'Y', 'Y', 'Y', 'Y', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'C', 'C', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'T', 'T', 'T', 'T', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'Z', 'Z', 'Z', 'X', 'C', 'C', 'C', 'D', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'D', 'D']
['P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'X', 'X', 'I', 'R', 'R', 'R', 'X', 'X', 'X', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'T', 'T', 'T', 'T', 'T', 'U', 'U', 'U', 'U', 'U', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'C', 'D', 'D', 'D', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'H', 'L', 'L', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'D', 'D']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'M', 'Y', 'Y', 'Z', 'X', 'X', 'R', 'R', 'X', 'X', 'X', 'X', 'X', 'Y', 'Y', 'Y', 'Y', 'H', 'H', 'H', 'P', 'P', 'P', 'P', 'P', 'P', 'V', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'G', 'G', 'C', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'U', 'U', 'U', 'U', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'C', 'D', 'D', 'D', 'B', 'B', 'B', 'G', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'D', 'D', 'M', 'D']
['P', 'P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Y', 'X', 'Y', 'Y', 'Y', 'H', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'G', 'C', 'C', 'C', 'C', 'W', 'W', 'W', 'V', 'W', 'V', 'W', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'U', 'U', 'U', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'D', 'D', 'D', 'D', 'B', 'B', 'B', 'B', 'B', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'L', 'L', 'L', 'I', 'I', 'D', 'D', 'D', 'D', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Y', 'X', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'C', 'C', 'C', 'C', 'X', 'X', 'X', 'W', 'T', 'T', 'T', 'W', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'P', 'P', 'U', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'D', 'D', 'D', 'D', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'O', 'O', 'R', 'O', 'O', 'O', 'O', 'I', 'O', 'I', 'L', 'L', 'L', 'I', 'I', 'I', 'I', 'D', 'I', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'I', 'Z', 'Z', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'X', 'X', 'X', 'U', 'U', 'X', 'U', 'X', 'X', 'X', 'X', 'X', 'X', 'P', 'P', 'V', 'V', 'V', 'P', 'P', 'P', 'P', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'C', 'C', 'C', 'X', 'X', 'X', 'T', 'T', 'T', 'T', 'W', 'T', 'T', 'T', 'T', 'T', 'T', 'P', 'P', 'P', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'D', 'D', 'D', 'D', 'D', 'D', 'N', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'U', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'L', 'I', 'I', 'I', 'I', 'I', 'I', 'D', 'I', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'I', 'I', 'I', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'X', 'U', 'U', 'U', 'U', 'U', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'V', 'V', 'V', 'V', 'V', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'X', 'X', 'X', 'X', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'O', 'O', 'C', 'P', 'P', 'P', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'X', 'Z', 'N', 'N', 'N', 'N', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'U', 'U', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'I', 'I', 'G', 'G', 'G', 'G', 'Q', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'X', 'U', 'D', 'U', 'U', 'U', 'X', 'X', 'X', 'X', 'X', 'X', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'P', 'P', 'P', 'P', 'P', 'P', 'X', 'V', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'C', 'C', 'C', 'P', 'T', 'T', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'F', 'F', 'U', 'U', 'U', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'U', 'U', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'I', 'I', 'I', 'I', 'I', 'I', 'Q', 'Q', 'Q', 'S', 'Q', 'Q', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'Z', 'Z', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'X', 'X', 'X', 'X', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'X', 'X', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'X', 'X', 'X', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'C', 'C', 'C', 'C', 'C', 'C', 'T', 'Z', 'I', 'A', 'I', 'Z', 'Z', 'Z', 'Z', 'Z', 'Z', 'F', 'F', 'F', 'F', 'U', 'U', 'U', 'U', 'G', 'U', 'G', 'U', 'U', 'U', 'U', 'U', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']
['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'I', 'I', 'I', 'I', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Z', 'Z', 'Z', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'X', 'X', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'X', 'X', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'N', 'N', 'N', 'N', 'X', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'Z', 'I', 'I', 'I', 'A', 'I', 'Z', 'Z', 'Z', 'I', 'Z', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'U', 'U', 'G', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'N', 'N', 'Y', 'Y', 'I', 'Y', 'Y', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']
