start: dial is at 50, ans = 0
line: L58, dial: 60, ans: 175
line: L82, dial: 78, ans: 176
line: L23, dial: 55, ans: 176
line: L62, dial: 93, ans: 177
line: L92, dial: 1, ans: 177
line: L1, dial: 0, ans: 177
line: L12, dial: 88, ans: 178
line: R96, dial: 84, ans: 179
line: L884, dial: 0, ans: 187
line: R24, dial: 24, ans: 187
line: R24, dial: 48, ans: 187
line: R43, dial: 91, ans: 187
line: R733, dial: 24, ans: 195
line: R76, dial: 0, ans: 196
line: R86, dial: 86, ans: 196
line: R35, dial: 21, ans: 197
line: L13, dial: 8, ans: 197
line: L8, dial: 0, ans: 197
line: R10, dial: 10, ans: 197
line: R90, dial: 0, ans: 198
line: L447, dial: 53, ans: 203
line: L97, dial: 56, ans: 204
line: R944, dial: 0, ans: 214
line: L27, dial: 73, ans: 215
line: R527, dial: 0, ans: 221
line: R11, dial: 11, ans: 221
line: L77, dial: 34, ans: 222
line: L57, dial: 77, ans: 223
line: L97, dial: 80, ans: 224
line: R89, dial: 69, ans: 225
line: L8, dial: 61, ans: 225
line: R84, dial: 45, ans: 226
line: R55, dial: 0, ans: 227
line: L684, dial: 16, ans: 234
line: L30, dial: 86, ans: 235
line: L86, dial: 0, ans: 235
line: R43, dial: 43, ans: 235
line: L91, dial: 52, ans: 236
line: L52, dial: 0, ans: 236
line: R51, dial: 51, ans: 236
line: L777, dial: 74, ans: 244
line: R525, dial: 99, ans: 249
line: L872, dial: 27, ans: 257
line: L72, dial: 55, ans: 258
line: L55, dial: 0, ans: 258
line: L10, dial: 90, ans: 259
line: R70, dial: 60, ans: 260
line: L60, dial: 0, ans: 260
line: R164, dial: 64, ans: 261
line: R85, dial: 49, ans: 262
line: R53, dial: 2, ans: 263
line: L102, dial: 0, ans: 264
line: L278, dial: 22, ans: 267
line: L22, dial: 0, ans: 267
line: L73, dial: 27, ans: 268
line: L21, dial: 6, ans: 268
line: L69, dial: 37, ans: 269
line: R36, dial: 73, ans: 269
line: R83, dial: 56, ans: 270
line: R206, dial: 62, ans: 272
line: R38, dial: 0, ans: 273
line: L56, dial: 44, ans: 274
line: L44, dial: 0, ans: 274
line: R34, dial: 34, ans: 274
line: R29, dial: 63, ans: 274
line: R1, dial: 64, ans: 274
line: R59, dial: 23, ans: 275
line: R77, dial: 0, ans: 276
line: L68, dial: 32, ans: 277
line: L32, dial: 0, ans: 277
line: R34, dial: 34, ans: 277
line: R66, dial: 0, ans: 278
line: R31, dial: 31, ans: 278
line: L92, dial: 39, ans: 279
line: L39, dial: 0, ans: 279
line: R949, dial: 49, ans: 288
line: L523, dial: 26, ans: 293
line: R47, dial: 73, ans: 293
line: L2, dial: 71, ans: 293
line: R17, dial: 88, ans: 293
line: L298, dial: 90, ans: 296
line: R10, dial: 0, ans: 297
line: R589, dial: 89, ans: 302
line: R11, dial: 0, ans: 303
line: L50, dial: 50, ans: 304
line: L37, dial: 13, ans: 304
line: R87, dial: 0, ans: 305
line: R245, dial: 45, ans: 307
line: R64, dial: 9, ans: 308
line: L77, dial: 32, ans: 309
line: R409, dial: 41, ans: 313
line: R59, dial: 0, ans: 314
line: R330, dial: 30, ans: 317
line: R70, dial: 0, ans: 318
line: R60, dial: 60, ans: 318
line: R56, dial: 16, ans: 319
line: L16, dial: 0, ans: 319
line: L72, dial: 28, ans: 320
line: L98, dial: 30, ans: 321
line: R50, dial: 80, ans: 321
line: R376, dial: 56, ans: 325
line: L56, dial: 0, ans: 325
line: L93, dial: 7, ans: 326
line: R83, dial: 90, ans: 326
line: R83, dial: 73, ans: 327
line: L69, dial: 4, ans: 327
line: R8, dial: 12, ans: 327
line: R888, dial: 0, ans: 336
line: L24, dial: 76, ans: 337
line: L713, dial: 63, ans: 344
line: R7, dial: 70, ans: 344
line: R10, dial: 80, ans: 344
line: L91, dial: 89, ans: 345
line: R258, dial: 47, ans: 348
line: R853, dial: 0, ans: 357
line: L831, dial: 69, ans: 366
line: L31, dial: 38, ans: 366
line: R6, dial: 44, ans: 366
line: R256, dial: 0, ans: 369
line: L96, dial: 4, ans: 370
line: L54, dial: 50, ans: 371
line: L73, dial: 77, ans: 372
line: L18, dial: 59, ans: 372
line: R76, dial: 35, ans: 373
line: R70, dial: 5, ans: 374
line: L98, dial: 7, ans: 375
line: R256, dial: 63, ans: 377
line: L63, dial: 0, ans: 377
line: L85, dial: 15, ans: 378
line: L15, dial: 0, ans: 378
line: L86, dial: 14, ans: 379
line: R86, dial: 0, ans: 380
line: R86, dial: 86, ans: 380
line: R26, dial: 12, ans: 381
line: L612, dial: 0, ans: 387
line: L93, dial: 7, ans: 388
line: L678, dial: 29, ans: 395
line: R320, dial: 49, ans: 398
line: R10, dial: 59, ans: 398
line: R59, dial: 18, ans: 399
line: R229, dial: 47, ans: 401
line: L16, dial: 31, ans: 401
line: L31, dial: 0, ans: 401
line: L520, dial: 80, ans: 407
line: L34, dial: 46, ans: 407
line: R15, dial: 61, ans: 407
line: R839, dial: 0, ans: 416
line: L715, dial: 85, ans: 424
line: R6, dial: 91, ans: 424
line: R209, dial: 0, ans: 427
line: R344, dial: 44, ans: 430
line: R19, dial: 63, ans: 430
line: R92, dial: 55, ans: 431
line: R45, dial: 0, ans: 432
line: R24, dial: 24, ans: 432
line: R76, dial: 0, ans: 433
line: L23, dial: 77, ans: 434
line: R23, dial: 0, ans: 435
line: R31, dial: 31, ans: 435
line: L31, dial: 0, ans: 435
line: R36, dial: 36, ans: 435
line: R64, dial: 0, ans: 436
line: R12, dial: 12, ans: 436
line: L33, dial: 79, ans: 437
line: L73, dial: 6, ans: 437
line: L28, dial: 78, ans: 438
line: R622, dial: 0, ans: 445
line: R21, dial: 21, ans: 445
line: L62, dial: 59, ans: 446
line: L59, dial: 0, ans: 446
line: L309, dial: 91, ans: 450
line: R12, dial: 3, ans: 451
line: L76, dial: 27, ans: 452
line: L76, dial: 51, ans: 453
line: L57, dial: 94, ans: 454
line: L25, dial: 69, ans: 454
line: R31, dial: 0, ans: 455
line: L25, dial: 75, ans: 456
line: L18, dial: 57, ans: 456
line: L57, dial: 0, ans: 456
line: L36, dial: 64, ans: 457
line: L665, dial: 99, ans: 464
line: L99, dial: 0, ans: 464
line: R945, dial: 45, ans: 473
line: L11, dial: 34, ans: 473
line: R19, dial: 53, ans: 473
line: L53, dial: 0, ans: 473
line: R53, dial: 53, ans: 473
line: L853, dial: 0, ans: 481
line: R91, dial: 91, ans: 481
line: L91, dial: 0, ans: 481
line: R15, dial: 15, ans: 481
line: L15, dial: 0, ans: 481
line: L83, dial: 17, ans: 482
line: L92, dial: 25, ans: 483
line: L25, dial: 0, ans: 483
line: L77, dial: 23, ans: 484
line: L23, dial: 0, ans: 484
line: R254, dial: 54, ans: 486
line: L54, dial: 0, ans: 486
line: R73, dial: 73, ans: 486
line: L27, dial: 46, ans: 486
line: R53, dial: 99, ans: 486
line: L79, dial: 20, ans: 486
line: L20, dial: 0, ans: 486
line: L638, dial: 62, ans: 493
line: R38, dial: 0, ans: 494
line: L86, dial: 14, ans: 495
line: L14, dial: 0, ans: 495
line: R186, dial: 86, ans: 496
line: L10, dial: 76, ans: 496
line: L847, dial: 29, ans: 504
line: L469, dial: 60, ans: 509
line: R39, dial: 99, ans: 509
line: R46, dial: 45, ans: 510
line: R55, dial: 0, ans: 511
line: R225, dial: 25, ans: 513
line: L888, dial: 37, ans: 522
line: R63, dial: 0, ans: 523
line: L27, dial: 73, ans: 524
line: L573, dial: 0, ans: 529
line: L82, dial: 18, ans: 530
line: L47, dial: 71, ans: 531
line: R819, dial: 90, ans: 539
line: L422, dial: 68, ans: 543
line: R52, dial: 20, ans: 544
line: L70, dial: 50, ans: 545
line: L150, dial: 0, ans: 546
line: L10, dial: 90, ans: 547
line: L90, dial: 0, ans: 547
line: R77, dial: 77, ans: 547
line: L77, dial: 0, ans: 547
line: R22, dial: 22, ans: 547
line: L22, dial: 0, ans: 547
line: R59, dial: 59, ans: 547
line: R76, dial: 35, ans: 548
line: L35, dial: 0, ans: 548
line: R834, dial: 34, ans: 556
line: L475, dial: 59, ans: 561
line: R41, dial: 0, ans: 562
line: L170, dial: 30, ans: 564
line: R74, dial: 4, ans: 565
line: L49, dial: 55, ans: 566
line: L99, dial: 56, ans: 567
line: R44, dial: 0, ans: 568
line: L42, dial: 58, ans: 569
line: R24, dial: 82, ans: 569
line: R18, dial: 0, ans: 570
line: R53, dial: 53, ans: 570
line: R33, dial: 86, ans: 570
line: R14, dial: 0, ans: 571
line: R98, dial: 98, ans: 571
line: R54, dial: 52, ans: 572
line: L52, dial: 0, ans: 572
line: L69, dial: 31, ans: 573
line: L15, dial: 16, ans: 573
line: R352, dial: 68, ans: 576
line: L441, dial: 27, ans: 580
line: L680, dial: 47, ans: 587
line: L89, dial: 58, ans: 588
line: R3, dial: 61, ans: 588
line: L961, dial: 0, ans: 597
line: R83, dial: 83, ans: 597
line: L66, dial: 17, ans: 597
line: R483, dial: 0, ans: 602
line: R34, dial: 34, ans: 602
line: R66, dial: 0, ans: 603
line: R937, dial: 37, ans: 612
line: L37, dial: 0, ans: 612
line: R369, dial: 69, ans: 615
line: L653, dial: 16, ans: 621
line: L89, dial: 27, ans: 622
line: L29, dial: 98, ans: 623
line: R135, dial: 33, ans: 625
line: L64, dial: 69, ans: 626
line: R90, dial: 59, ans: 627
line: R11, dial: 70, ans: 627
line: L950, dial: 20, ans: 636
line: L80, dial: 40, ans: 637
line: R60, dial: 0, ans: 638
line: L786, dial: 14, ans: 646
line: R98, dial: 12, ans: 647
line: L412, dial: 0, ans: 651
line: R44, dial: 44, ans: 651
line: R326, dial: 70, ans: 654
line: R4, dial: 74, ans: 654
line: R8, dial: 82, ans: 654
line: L52, dial: 30, ans: 654
line: R10, dial: 40, ans: 654
line: R62, dial: 2, ans: 655
line: R98, dial: 0, ans: 656
line: R65, dial: 65, ans: 656
line: L475, dial: 90, ans: 661
line: R33, dial: 23, ans: 662
line: R57, dial: 80, ans: 662
line: L80, dial: 0, ans: 662
line: R88, dial: 88, ans: 662
line: R49, dial: 37, ans: 663
line: L87, dial: 50, ans: 664
line: L22, dial: 28, ans: 664
line: L218, dial: 10, ans: 666
line: L10, dial: 0, ans: 666
line: L24, dial: 76, ans: 667
line: L76, dial: 0, ans: 667
line: L74, dial: 26, ans: 668
line: R74, dial: 0, ans: 669
line: R18, dial: 18, ans: 669
line: R13, dial: 31, ans: 669
line: L28, dial: 3, ans: 669
line: L79, dial: 24, ans: 670
line: L423, dial: 1, ans: 674
line: R99, dial: 0, ans: 675
line: R77, dial: 77, ans: 675
line: L184, dial: 93, ans: 677
line: L877, dial: 16, ans: 685
line: L49, dial: 67, ans: 686
line: R14, dial: 81, ans: 686
line: L93, dial: 88, ans: 687
line: R106, dial: 94, ans: 688
line: L12, dial: 82, ans: 688
line: R818, dial: 0, ans: 697
line: L6, dial: 94, ans: 698
line: L64, dial: 30, ans: 698
line: L80, dial: 50, ans: 699
line: R40, dial: 90, ans: 699
line: R10, dial: 0, ans: 700
line: L505, dial: 95, ans: 706
line: R5, dial: 0, ans: 707
line: L27, dial: 73, ans: 708
line: R27, dial: 0, ans: 709
line: R33, dial: 33, ans: 709
line: L37, dial: 96, ans: 710
line: R72, dial: 68, ans: 711
line: L77, dial: 91, ans: 712
line: L91, dial: 0, ans: 712
line: L174, dial: 26, ans: 714
line: L26, dial: 0, ans: 714
line: L843, dial: 57, ans: 723
line: L77, dial: 80, ans: 724
line: L944, dial: 36, ans: 733
line: R64, dial: 0, ans: 734
line: L11, dial: 89, ans: 735
line: R97, dial: 86, ans: 736
line: L115, dial: 71, ans: 737
line: L59, dial: 12, ans: 737
line: R22, dial: 34, ans: 737
line: R266, dial: 0, ans: 740
line: L77, dial: 23, ans: 741
line: R58, dial: 81, ans: 741
line: R104, dial: 85, ans: 742
line: L85, dial: 0, ans: 742
line: R23, dial: 23, ans: 742
line: R577, dial: 0, ans: 748
line: R19, dial: 19, ans: 748
line: L18, dial: 1, ans: 748
line: R99, dial: 0, ans: 749
line: L87, dial: 13, ans: 750
line: R36, dial: 49, ans: 750
line: L949, dial: 0, ans: 759
line: R713, dial: 13, ans: 766
line: L47, dial: 66, ans: 767
line: L66, dial: 0, ans: 767
line: L9, dial: 91, ans: 768
line: L991, dial: 0, ans: 777
line: R77, dial: 77, ans: 777
line: L458, dial: 19, ans: 781
line: R756, dial: 75, ans: 788
line: L21, dial: 54, ans: 788
line: R117, dial: 71, ans: 789
line: R53, dial: 24, ans: 790
line: L24, dial: 0, ans: 790
line: L27, dial: 73, ans: 791
line: L99, dial: 74, ans: 792
line: L74, dial: 0, ans: 792
line: L40, dial: 60, ans: 793
line: R74, dial: 34, ans: 794
line: L786, dial: 48, ans: 802
line: L42, dial: 6, ans: 802
line: R39, dial: 45, ans: 802
line: L33, dial: 12, ans: 802
line: R50, dial: 62, ans: 802
line: R96, dial: 58, ans: 803
line: R31, dial: 89, ans: 803
line: R82, dial: 71, ans: 804
line: L15, dial: 56, ans: 804
line: L54, dial: 2, ans: 804
line: R96, dial: 98, ans: 804
line: L98, dial: 0, ans: 804
line: L517, dial: 83, ans: 810
line: R32, dial: 15, ans: 811
line: R34, dial: 49, ans: 811
line: R7, dial: 56, ans: 811
line: L657, dial: 99, ans: 818
line: R1, dial: 0, ans: 819
line: L3, dial: 97, ans: 820
line: L97, dial: 0, ans: 820
line: R76, dial: 76, ans: 820
line: L88, dial: 88, ans: 821
line: R609, dial: 97, ans: 827
line: R54, dial: 51, ans: 828
line: L51, dial: 0, ans: 828
line: L857, dial: 43, ans: 837
line: L45, dial: 98, ans: 838
line: L69, dial: 29, ans: 838
line: R71, dial: 0, ans: 839
line: L687, dial: 13, ans: 846
line: L525, dial: 88, ans: 852
line: L88, dial: 0, ans: 852
line: L7, dial: 93, ans: 853
line: L18, dial: 75, ans: 853
line: L21, dial: 54, ans: 853
line: R390, dial: 44, ans: 857
line: L15, dial: 29, ans: 857
line: L29, dial: 0, ans: 857
line: R46, dial: 46, ans: 857
line: L67, dial: 79, ans: 858
line: L199, dial: 80, ans: 860
line: L6, dial: 74, ans: 860
line: L74, dial: 0, ans: 860
line: R930, dial: 30, ans: 869
line: R61, dial: 91, ans: 869
line: L65, dial: 26, ans: 869
line: L880, dial: 46, ans: 878
line: R64, dial: 10, ans: 879
line: R690, dial: 0, ans: 886
line: R92, dial: 92, ans: 886
line: R8, dial: 0, ans: 887
line: L873, dial: 27, ans: 896
line: R1, dial: 28, ans: 896
line: R972, dial: 0, ans: 906
line: R85, dial: 85, ans: 906
line: L859, dial: 26, ans: 914
line: L80, dial: 46, ans: 915
line: R57, dial: 3, ans: 916
line: R61, dial: 64, ans: 916
line: L92, dial: 72, ans: 917
line: R29, dial: 1, ans: 918
line: L1, dial: 0, ans: 918
line: R66, dial: 66, ans: 918
line: R34, dial: 0, ans: 919
line: L73, dial: 27, ans: 920
line: R25, dial: 52, ans: 920
line: L52, dial: 0, ans: 920
line: R79, dial: 79, ans: 920
line: R54, dial: 33, ans: 921
line: R32, dial: 65, ans: 921
line: L213, dial: 52, ans: 923
line: R48, dial: 0, ans: 924
line: L349, dial: 51, ans: 928
line: L52, dial: 99, ans: 929
line: R1, dial: 0, ans: 930
line: R86, dial: 86, ans: 930
line: R88, dial: 74, ans: 931
line: L33, dial: 41, ans: 931
line: R67, dial: 8, ans: 932
line: R45, dial: 53, ans: 932
line: R66, dial: 19, ans: 933
line: L19, dial: 0, ans: 933
line: R752, dial: 52, ans: 940
line: L22, dial: 30, ans: 940
line: L30, dial: 0, ans: 940
line: L292, dial: 8, ans: 943
line: R56, dial: 64, ans: 943
line: R36, dial: 0, ans: 944
line: L12, dial: 88, ans: 945
line: R11, dial: 99, ans: 945
line: L84, dial: 15, ans: 945
line: R85, dial: 0, ans: 946
line: L46, dial: 54, ans: 947
line: R6, dial: 60, ans: 947
line: R14, dial: 74, ans: 947
line: L74, dial: 0, ans: 947
line: R66, dial: 66, ans: 947
line: R76, dial: 42, ans: 948
line: R91, dial: 33, ans: 949
line: L733, dial: 0, ans: 956
line: L73, dial: 27, ans: 957
line: L327, dial: 0, ans: 960
line: R2, dial: 2, ans: 960
line: R78, dial: 80, ans: 960
line: L79, dial: 1, ans: 960
line: R16, dial: 17, ans: 960
line: L35, dial: 82, ans: 961
line: L447, dial: 35, ans: 965
line: L35, dial: 0, ans: 965
line: R97, dial: 97, ans: 965
line: R63, dial: 60, ans: 966
line: R140, dial: 0, ans: 968
line: R645, dial: 45, ans: 974
line: R326, dial: 71, ans: 977
line: R29, dial: 0, ans: 978
line: R31, dial: 31, ans: 978
line: R37, dial: 68, ans: 978
line: R32, dial: 0, ans: 979
line: R44, dial: 44, ans: 979
line: L60, dial: 84, ans: 980
line: R55, dial: 39, ans: 981
line: L39, dial: 0, ans: 981
line: R65, dial: 65, ans: 981
line: L45, dial: 20, ans: 981
line: R48, dial: 68, ans: 981
line: L525, dial: 43, ans: 986
line: L729, dial: 14, ans: 993
line: L1, dial: 13, ans: 993
line: L13, dial: 0, ans: 993
line: L35, dial: 65, ans: 994
line: L865, dial: 0, ans: 1002
line: L5, dial: 95, ans: 1003
line: L95, dial: 0, ans: 1003
line: L28, dial: 72, ans: 1004
line: L72, dial: 0, ans: 1004
line: R86, dial: 86, ans: 1004
line: L47, dial: 39, ans: 1004
line: R61, dial: 0, ans: 1005
line: L74, dial: 26, ans: 1006
line: L3, dial: 23, ans: 1006
line: L63, dial: 60, ans: 1007
line: L46, dial: 14, ans: 1007
line: L70, dial: 44, ans: 1008
line: R56, dial: 0, ans: 1009
line: R68, dial: 68, ans: 1009
line: R632, dial: 0, ans: 1016
line: L32, dial: 68, ans: 1017
line: L68, dial: 0, ans: 1017
line: L21, dial: 79, ans: 1018
line: L581, dial: 98, ans: 1024
line: R36, dial: 34, ans: 1025
line: L97, dial: 37, ans: 1026
line: R6, dial: 43, ans: 1026
line: L91, dial: 52, ans: 1027
line: L652, dial: 0, ans: 1033
line: L66, dial: 34, ans: 1034
line: L980, dial: 54, ans: 1044
line: L54, dial: 0, ans: 1044
line: R35, dial: 35, ans: 1044
line: L75, dial: 60, ans: 1045
line: R10, dial: 70, ans: 1045
line: R787, dial: 57, ans: 1053
line: R743, dial: 0, ans: 1061
line: L81, dial: 19, ans: 1062
line: L15, dial: 4, ans: 1062
line: L4, dial: 0, ans: 1062
line: R53, dial: 53, ans: 1062
line: L853, dial: 0, ans: 1070
line: R36, dial: 36, ans: 1070
line: L96, dial: 40, ans: 1071
line: R60, dial: 0, ans: 1072
line: L12, dial: 88, ans: 1073
line: L24, dial: 64, ans: 1073
line: R15, dial: 79, ans: 1073
line: R721, dial: 0, ans: 1081
line: L13, dial: 87, ans: 1082
line: L87, dial: 0, ans: 1082
line: R21, dial: 21, ans: 1082
line: L21, dial: 0, ans: 1082
line: L59, dial: 41, ans: 1083
line: R58, dial: 99, ans: 1083
line: L66, dial: 33, ans: 1083
line: R13, dial: 46, ans: 1083
line: L46, dial: 0, ans: 1083
line: R96, dial: 96, ans: 1083
line: R4, dial: 0, ans: 1084
line: R33, dial: 33, ans: 1084
line: L41, dial: 92, ans: 1085
line: L96, dial: 96, ans: 1086
line: L96, dial: 0, ans: 1086
line: R195, dial: 95, ans: 1087
line: R5, dial: 0, ans: 1088
line: L62, dial: 38, ans: 1089
line: R75, dial: 13, ans: 1090
line: R37, dial: 50, ans: 1090
line: R78, dial: 28, ans: 1091
line: L65, dial: 63, ans: 1092
line: R96, dial: 59, ans: 1093
line: L59, dial: 0, ans: 1093
line: R515, dial: 15, ans: 1098
line: R33, dial: 48, ans: 1098
line: R852, dial: 0, ans: 1107
line: L91, dial: 9, ans: 1108
line: L18, dial: 91, ans: 1109
line: R95, dial: 86, ans: 1110
line: R14, dial: 0, ans: 1111
line: L14, dial: 86, ans: 1112
line: L46, dial: 40, ans: 1112
line: R60, dial: 0, ans: 1113
line: R12, dial: 12, ans: 1113
line: L912, dial: 0, ans: 1122
line: L91, dial: 9, ans: 1123
line: R201, dial: 10, ans: 1125
line: L210, dial: 0, ans: 1127
line: L570, dial: 30, ans: 1133
line: L30, dial: 0, ans: 1133
line: R112, dial: 12, ans: 1134
line: L12, dial: 0, ans: 1134
line: R13, dial: 13, ans: 1134
line: R87, dial: 0, ans: 1135
line: R77, dial: 77, ans: 1135
line: L377, dial: 0, ans: 1138
line: R254, dial: 54, ans: 1140
line: L54, dial: 0, ans: 1140
line: L57, dial: 43, ans: 1141
line: R457, dial: 0, ans: 1146
line: R939, dial: 39, ans: 1155
line: R161, dial: 0, ans: 1157
line: R14, dial: 14, ans: 1157
line: R86, dial: 0, ans: 1158
line: R31, dial: 31, ans: 1158
line: R762, dial: 93, ans: 1165
line: R207, dial: 0, ans: 1168
line: R739, dial: 39, ans: 1175
line: R269, dial: 8, ans: 1178
line: L8, dial: 0, ans: 1178
line: L59, dial: 41, ans: 1179
line: R29, dial: 70, ans: 1179
line: R10, dial: 80, ans: 1179
line: R35, dial: 15, ans: 1180
line: R81, dial: 96, ans: 1180
line: L44, dial: 52, ans: 1180
line: R73, dial: 25, ans: 1181
line: R75, dial: 0, ans: 1182
line: R12, dial: 12, ans: 1182
line: L12, dial: 0, ans: 1182
line: L924, dial: 76, ans: 1192
line: R24, dial: 0, ans: 1193
line: L91, dial: 9, ans: 1194
line: L89, dial: 20, ans: 1195
line: L4, dial: 16, ans: 1195
line: L16, dial: 0, ans: 1195
line: R968, dial: 68, ans: 1204
line: L68, dial: 0, ans: 1204
line: R33, dial: 33, ans: 1204
